EstadoCivil,Curso,QualificacaoAnterior,QualificacaoAnteriorGrau,Nacionalidade,NotaAdmissao,NecessidadesEspeciais,Devedor,MensalidadesEmDia,Genero,Bolsista,International,UnidadesCurriculares1SemestreCreditado,UnidadesCurriculares1SemestreInscrito,UnidadesCurriculares1SemestreAvaliacoes,UnidadesCurriculares1SemestreAprovado,UnidadesCurriculares1SemestreGrau,UnidadesCurriculares1SemestreSemAvaliacoes,UnidadesCurriculares2SemestreCreditado,UnidadesCurriculares2SemestreInscrito,UnidadesCurriculares2SemestreAvaliacoes,UnidadesCurriculares2SemestreAprovado,UnidadesCurriculares2SemestreGrau,UnidadesCurriculares2SemestreSemAvaliacoes,TaxaDesemprego,TaxaInflacao,PIB,Target,ProbabilidadeEvasao,PredicaoEvasao,ClassePredita
Solteiro,Gestão de Publicidade e Marketing,Ensino Secundário,139.0,Português,130.6,0,0,1,Feminino,0,0,0,6,6,6,1.23333333333333e+16,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduado,0.2203152968849098,0,Não Desistente
Solteiro,Enfermagem,Ensino Secundário,136.0,Português,119.3,0,0,1,Feminino,1,0,0,8,8,7,1.32142857142857e+16,0,0,8,8,7,1.32142857142857e+16,0,12.7,3.7,-1.7,Graduado,0.058717821038226925,0,Não Desistente
Solteiro,Ensino Básico,Ensino Secundário,133.0,Português,130.2,0,0,1,Feminino,0,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Desistente,0.9881753318631462,1,Desistente
Solteiro,Turismo,Curso Técnico Superior Profissional,110.0,Português,111.8,0,0,1,Feminino,1,0,0,6,7,6,1.05714285714285e+16,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduado,0.07003771713081036,0,Não Desistente
Solteiro,Enfermagem Veterinária,Ensino Secundário,149.0,Português,137.1,0,0,1,Feminino,1,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduado,0.07597309260706657,0,Não Desistente
Solteiro,Jornalismo e Comunicação,Ensino Secundário,127.0,Português,120.7,0,0,1,Feminino,0,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Desistente,0.9367776193498615,1,Desistente
Solteiro,Serviço Social,Ensino Secundário,137.0,Português,137.4,0,0,1,Feminino,0,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Matriculado,0.6752879743254042,1,Desistente
Solteiro,Enfermagem,Ensino Secundário,135.0,Português,127.3,0,0,1,Feminino,0,0,0,7,8,7,1330625.0,0,0,8,8,8,14545.0,0,15.5,2.8,-4.06,Graduado,0.06810583059213779,0,Não Desistente
Solteiro,Equincultura,Ensino Secundário,137.0,Português,136.3,0,0,1,Feminino,0,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduado,0.34770731398581367,0,Não Desistente
Solteiro,Ensino Básico,Ensino Secundário,140.0,Português,124.6,0,0,1,Feminino,0,0,0,7,7,6,1.16666666666666e+16,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Matriculado,0.3789983134285317,0,Não Desistente
Solteiro,Design de Animação e Multimédia,Ensino Secundário,122.0,Português,120.3,0,0,1,Feminino,1,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduado,0.332424030775682,0,Não Desistente
Solteiro,Higiene Oral,Ensino Secundário,127.0,Português,121.8,0,0,1,Feminino,0,0,0,7,14,7,114375.0,0,0,8,9,8,11425.0,0,12.7,3.7,-1.7,Matriculado,0.07769291887561396,0,Não Desistente
Solteiro,Enfermagem,Ensino Secundário,142.0,Português,125.5,0,0,1,Feminino,0,0,0,8,12,7,1.28571428571428e+16,0,0,8,12,7,1.28571428571428e+16,0,12.7,3.7,-1.7,Graduado,0.08033764627325853,0,Não Desistente
Solteiro,Gestão de Publicidade e Marketing,Ensino Secundário,125.0,Português,114.9,0,0,1,Feminino,1,0,0,6,8,6,13375.0,0,0,6,7,6,1.22857142857142e+16,0,11.1,0.6,2.02,Graduado,0.06465932677129622,0,Não Desistente
Solteiro,Enfermagem,Ensino Secundário,126.0,Português,123.9,0,0,1,Feminino,0,0,0,7,8,6,1.32966666666666e+16,0,0,8,9,7,1.41142857142857e+16,0,11.1,0.6,2.02,Graduado,0.10359642816126469,0,Não Desistente
Solteiro,Serviço Social,Ensino Secundário,151.0,Português,157.0,0,1,1,Feminino,1,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Matriculado,0.16496291028843202,0,Não Desistente
Solteiro,Serviço Social,Ensino Secundário,115.0,Português,116.4,0,0,1,Feminino,0,0,0,6,9,6,11375.0,0,0,6,9,6,1.32857142857142e+16,0,16.2,0.3,-0.92,Graduado,0.05854101973842013,0,Não Desistente
Solteiro,Enfermagem Veterinária,Ensino Secundário,138.0,Português,131.0,0,0,1,Feminino,0,0,0,5,9,5,1.26666666666666e+16,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Matriculado,0.1500093342081764,0,Não Desistente
Solteiro,Gestão,Ensino Secundário,135.0,Português,122.1,0,0,1,Feminino,0,0,0,5,6,5,12.0,0,0,5,6,5,1.23333333333333e+16,0,16.2,0.3,-0.92,Graduado,0.1231007652315446,0,Não Desistente
Solteiro,Enfermagem,Ensino Secundário,127.0,Português,118.8,0,0,1,Masculino,0,0,0,7,9,6,1.29333333333333e+16,0,0,7,7,6,1.37166666666666e+16,0,16.2,0.3,-0.92,Matriculado,0.2095160616375636,0,Não Desistente
Solteiro,Agronomia,Curso de Especialização Tecnológica,150.0,Português,150.0,0,0,1,Masculino,0,0,0,6,15,5,1.18571428571428e+16,0,0,6,17,5,1.05714285714285e+16,0,16.2,0.3,-0.92,Matriculado,0.10367524417677004,0,Não Desistente
Solteiro,Design de Comunicação,Ensino Secundário,125.0,Português,130.0,0,0,1,Masculino,0,0,2,6,7,6,1.28333333333333e+16,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduado,0.3231040250375164,0,Não Desistente
Solteiro,Gestão,Ensino Secundário,143.0,Português,138.8,0,0,0,Masculino,0,0,0,5,9,3,1.13333333333333e+16,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Matriculado,0.9381686008386804,1,Desistente
Solteiro,Serviço Social (prestação nocturna),Ensino Secundário,138.0,Português,134.5,0,0,1,Feminino,0,0,0,6,6,6,1.26666666666666e+16,0,0,6,8,6,14375.0,0,12.4,0.5,1.79,Graduado,0.06983784965712816,0,Não Desistente
Solteiro,Gestão (presencial noturno),Ensino Secundário,130.0,Português,131.4,0,0,1,Masculino,0,0,0,5,6,5,12.4,0,0,5,9,5,1.34285714285714e+16,0,13.9,-0.3,0.79,Graduado,0.228875609997643,0,Não Desistente
Solteiro,Tecnologias de Produção de Biocombustíveis,Ensino Secundário,130.0,Português,102.5,0,1,0,Masculino,0,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Desistente,0.9974801775881175,1,Desistente
Solteiro,Engenharia Informática,11º Ano de Escolaridade - Não Concluído,133.1,Português,128.8,0,0,1,Masculino,0,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Desistente,0.9630836975557744,1,Desistente
Solteiro,Gestão,Ensino Secundário,140.0,Português,122.9,0,0,1,Feminino,0,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Desistente,0.6937062135779585,1,Desistente
Divorciado,Gestão (presencial noturno),Ensino Secundário,120.0,Português,113.9,0,0,1,Feminino,0,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduado,0.12232231624718909,0,Não Desistente
Solteiro,Equincultura,Curso de Especialização Tecnológica,120.0,Espanhol,120.0,0,1,0,Feminino,0,1,2,6,13,3,1.16666666666666e+16,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Desistente,0.9249191082931202,1,Desistente
Solteiro,Jornalismo e Comunicação,Ensino Secundário,126.0,Português,121.1,0,1,1,Feminino,0,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Desistente,0.9584717747569741,1,Desistente
Solteiro,Gestão,Ensino Secundário,133.0,Português,120.4,0,0,1,Feminino,0,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduado,0.08921356932188679,0,Não Desistente
Solteiro,Enfermagem,Ensino Secundário,103.0,Português,100.6,1,0,1,Feminino,0,0,0,7,9,5,13928.0,0,0,8,9,7,1.43428571428571e+16,0,11.1,0.6,2.02,Graduado,0.20842651830229972,0,Não Desistente
Solteiro,Jornalismo e Comunicação,Ensino Secundário,120.0,Português,121.4,0,0,0,Feminino,0,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Desistente,0.8420442188750207,1,Desistente
Solteiro,Gestão (presencial noturno),Ensino Secundário,133.1,Português,109.7,0,0,1,Feminino,0,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Desistente,0.9742950229672416,1,Desistente
Solteiro,Gestão (presencial noturno),Ensino Secundário,154.0,Português,134.1,0,0,1,Feminino,0,0,0,5,9,2,11.5,0,0,5,11,3,1.43333333333333e+16,1,7.6,2.6,0.32,Matriculado,0.48451107808775745,0,Não Desistente
Solteiro,Serviço Social,Ensino Secundário,130.0,Português,127.6,0,0,1,Feminino,0,0,0,6,6,6,1.16666666666666e+16,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduado,0.0891511167580725,0,Não Desistente
Solteiro,Enfermagem,Ensino Secundário,132.0,Português,132.4,0,0,1,Feminino,1,0,0,7,8,6,1.35166666666666e+16,0,0,8,9,7,1.37714285714285e+16,0,11.1,0.6,2.02,Graduado,0.06581476609672701,0,Não Desistente
Solteiro,Serviço Social (prestação nocturna),Curso de Especialização Tecnológica,130.0,Português,133.4,0,0,1,Feminino,1,0,3,6,6,6,11.5,0,2,6,7,6,1.32857142857142e+16,0,12.4,0.5,1.79,Graduado,0.05071297121758876,0,Não Desistente
Solteiro,Serviço Social,Ensino Secundário,139.0,Português,126.1,0,0,1,Feminino,1,0,0,6,7,5,1.23333333333333e+16,0,0,6,7,6,1.28333333333333e+16,0,12.7,3.7,-1.7,Graduado,0.038880704944539705,0,Não Desistente
Solteiro,Turismo,Ensino Secundário,130.0,Português,113.5,0,0,1,Feminino,1,0,0,6,6,6,1.36666666666666e+16,0,0,6,6,6,1.41666666666666e+16,0,12.4,0.5,1.79,Graduado,0.07965698396182522,0,Não Desistente
Solteiro,Enfermagem,Ensino Secundário,139.0,Português,121.3,0,0,1,Feminino,1,0,0,8,10,6,1.18333333333333e+16,0,0,8,10,6,1.18333333333333e+16,0,9.4,-0.8,-3.12,Matriculado,0.11397596178055075,0,Não Desistente
Solteiro,Jornalismo e Comunicação,Ensino Secundário,127.0,Português,121.8,0,0,1,Feminino,1,0,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Matriculado,0.5099893032519421,1,Desistente
Solteiro,Equincultura,Ensino Secundário,167.0,Português,159.3,0,0,1,Feminino,0,0,0,5,7,5,1.47142857142857e+16,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduado,0.20701048941449288,0,Não Desistente
Solteiro,Gestão (presencial noturno),Ensino Secundário,130.0,Português,120.0,0,0,1,Feminino,0,0,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Desistente,0.1493756678555387,0,Não Desistente
Solteiro,Enfermagem,Ensino Secundário,130.0,Português,129.1,0,0,1,Feminino,0,0,0,7,9,7,1.30444444444444e+16,0,0,8,10,8,13595.0,0,15.5,2.8,-4.06,Graduado,0.06353249094023451,0,Não Desistente
Casado,Turismo,Ensino Superior - Licenciatura,130.0,Português,130.0,0,0,1,Feminino,0,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Desistente,0.9900173631135597,1,Desistente
Solteiro,Equincultura,Ensino Superior - Licenciatura (1º Ciclo),129.0,Português,155.3,0,0,1,Feminino,0,0,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Desistente,0.4522349381974115,0,Não Desistente
Solteiro,Enfermagem,Ensino Secundário,141.0,Português,139.8,0,0,1,Feminino,0,0,0,8,8,8,14935.0,0,0,8,8,8,14935.0,0,9.4,-0.8,-3.12,Graduado,0.0414029733458498,0,Não Desistente
Solteiro,Design de Animação e Multimédia,Ensino Secundário,125.0,Português,115.2,0,0,1,Feminino,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Matriculado,0.3994792826462273,0,Não Desistente
Solteiro,Enfermagem,Ensino Secundário,125.0,Português,114.9,0,0,1,Feminino,0,0,0,7,8,6,1.31333333333333e+16,0,0,8,12,7,1.22214285714285e+16,0,16.2,0.3,-0.92,Graduado,0.12930479513367246,0,Não Desistente
Solteiro,Serviço Social,Curso de Especialização Tecnológica,130.0,Português,131.9,0,0,1,Feminino,1,0,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduado,0.044313986358378556,0,Não Desistente
Solteiro,Design de Animação e Multimédia,Ensino Secundário,133.0,Português,126.0,0,0,1,Masculino,1,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Matriculado,0.4057520152817622,0,Não Desistente
Solteiro,Design de Comunicação,Ensino Secundário,127.0,Português,130.2,0,0,1,Masculino,0,0,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Matriculado,0.7957331547848701,1,Desistente
Solteiro,Design de Comunicação,Ensino Secundário,116.0,Português,120.9,0,0,1,Masculino,0,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Matriculado,0.9699321780807731,1,Desistente
Divorciado,Enfermagem,Ensino Básico (3º Ciclo),133.1,Português,126.0,0,0,1,Masculino,0,0,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Desistente,0.6705928970757656,1,Desistente
Solteiro,Design de Animação e Multimédia,Ensino Secundário,139.0,Português,128.2,0,0,1,Masculino,1,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduado,0.40469385516826195,0,Não Desistente
Solteiro,Agronomia,Curso de Especialização Tecnológica,130.0,Português,130.0,0,0,1,Masculino,0,0,0,6,8,6,1.25714285714285e+16,0,0,6,7,6,1.24285714285714e+16,0,8.9,1.4,3.51,Graduado,0.03823449996716588,0,Não Desistente
Solteiro,Gestão,Ensino Secundário,125.0,Português,120.1,0,1,1,Masculino,0,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Desistente,0.32275348854497776,0,Não Desistente
Solteiro,Turismo,Ensino Secundário,160.0,Português,100.0,0,0,1,Masculino,0,0,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Matriculado,0.2844838648197097,0,Não Desistente
Solteiro,Gestão,Ensino Secundário,148.0,Português,134.0,0,0,1,Masculino,0,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Matriculado,0.9346769355342308,1,Desistente
Solteiro,Enfermagem,Ensino Secundário,150.0,Português,130.8,0,0,1,Masculino,0,0,0,7,8,7,11975.0,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduado,0.08513475382315866,0,Não Desistente
Solteiro,Design de Animação e Multimédia,Ensino Secundário,141.0,Português,135.8,0,0,1,Masculino,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Desistente,0.6017323755682258,1,Desistente
Solteiro,Turismo,Ensino Secundário,118.0,Português,111.7,0,0,1,Masculino,0,0,0,6,12,3,1.16666666666666e+16,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Desistente,0.9124026851479425,1,Desistente
Solteiro,Jornalismo e Comunicação,Ensino Secundário,142.0,Português,132.9,0,0,1,Masculino,0,0,0,6,8,6,1.23333333333333e+16,0,0,6,11,3,1.23333333333333e+16,0,10.8,1.4,1.74,Graduado,0.5730942521739437,1,Desistente
Solteiro,Gestão,Ensino Secundário,120.0,Português,115.5,0,1,1,Masculino,0,0,0,5,8,3,1.03333333333333e+16,0,0,5,11,3,1.08571428571428e+16,0,10.8,1.4,1.74,Desistente,0.6007294253136786,1,Desistente
Solteiro,Turismo,Ensino Secundário,106.0,Português,106.0,0,0,1,Masculino,1,0,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Desistente,0.8324187553317716,1,Desistente
Solteiro,Jornalismo e Comunicação,Ensino Secundário,121.0,Português,120.3,0,1,1,Masculino,1,0,0,6,6,6,1.36666666666666e+16,0,0,6,6,6,1.33333333333333e+16,0,8.9,1.4,3.51,Graduado,0.176036360563789,0,Não Desistente
Solteiro,Enfermagem,Ensino Secundário,150.0,Português,130.8,0,0,1,Masculino,1,0,0,7,7,7,1.48428571428571e+16,0,0,8,9,8,1.50555555555555e+16,0,16.2,0.3,-0.92,Graduado,0.0542812407258738,0,Não Desistente
Casado,Serviço Social (prestação nocturna),Ensino Secundário,120.0,Português,117.0,0,0,1,Masculino,0,0,0,6,8,6,12.0,0,0,6,6,6,1.16666666666666e+16,0,10.8,1.4,1.74,Graduado,0.10627820567102543,0,Não Desistente
Solteiro,Ensino Básico,Ensino Secundário,114.0,Português,110.2,0,0,1,Masculino,0,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Desistente,0.4784822980132079,0,Não Desistente
Solteiro,Gestão (presencial noturno),Ensino Superior - Licenciatura,140.0,Português,155.7,0,0,1,Masculino,0,0,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Desistente,0.975562866139796,1,Desistente
Solteiro,Agronomia,Ensino Superior - Mestrado,160.0,Português,180.4,0,1,1,Masculino,0,0,6,12,17,6,1.21666666666666e+16,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Desistente,0.8849146646448068,1,Desistente
Solteiro,Turismo,Ensino Secundário,120.0,Português,125.5,0,0,1,Masculino,0,0,0,5,6,5,12.0,0,0,5,8,3,1.13333333333333e+16,0,12.7,3.7,-1.7,Matriculado,0.5423100083026656,1,Desistente
Casado,Serviço Social (prestação nocturna),Ensino Secundário,130.0,Português,110.0,0,0,1,Feminino,0,0,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduado,0.13643822219761,0,Não Desistente
Solteiro,Enfermagem,Ensino Secundário,160.0,Português,161.0,0,0,1,Feminino,1,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduado,0.05751141344178737,0,Não Desistente
Solteiro,Gestão de Publicidade e Marketing,Ensino Secundário,120.0,Português,100.0,0,0,1,Feminino,1,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduado,0.11791087431622713,0,Não Desistente
Solteiro,Design de Comunicação,Ensino Secundário,124.0,Português,117.6,0,0,1,Masculino,0,0,0,6,9,6,1.06666666666666e+16,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduado,0.14473040581017005,0,Não Desistente
Solteiro,Gestão,Ensino Secundário,143.0,Português,128.7,0,0,1,Masculino,0,0,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Matriculado,0.16698783787903568,0,Não Desistente
Solteiro,Engenharia Informática,Ensino Secundário,115.0,Português,112.2,0,1,1,Masculino,0,0,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,Matriculado,0.9645985602729794,1,Desistente
Solteiro,Enfermagem,Ensino Secundário,133.1,Português,100.8,0,0,1,Masculino,0,0,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Desistente,0.9797458745128915,1,Desistente
Solteiro,Jornalismo e Comunicação,Ensino Secundário,133.1,Brasileiro,105.0,0,0,0,Feminino,0,1,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduado,0.5987919637122519,1,Desistente
Solteiro,Equincultura,Ensino Secundário,133.1,Brasileiro,100.0,0,0,1,Feminino,0,1,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,Desistente,0.9666135812522015,1,Desistente
Casado,Ensino Básico,11º Ano de Escolaridade - Não Concluído,133.1,Português,115.5,0,0,1,Feminino,0,0,0,6,12,3,1.26666666666666e+16,0,0,6,14,0,0.0,1,7.6,2.6,0.32,Desistente,0.9658083738352171,1,Desistente
Casado,Serviço Social (prestação nocturna),Ensino Secundário,133.1,Português,114.0,0,0,1,Feminino,0,0,2,8,11,8,11875.0,0,0,6,7,6,1.23333333333333e+16,0,12.7,3.7,-1.7,Graduado,0.06670319105096884,0,Não Desistente
Solteiro,Engenharia Informática,Ensino Secundário,130.0,Santomense,137.0,0,0,1,Masculino,0,1,0,5,9,5,14.0,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,Matriculado,0.08750230522806152,0,Não Desistente
Solteiro,Jornalismo e Comunicação,Ensino Secundário,135.0,Português,124.9,0,0,1,Feminino,0,0,0,6,6,6,1.36666666666666e+16,0,0,6,6,6,1.33333333333333e+16,0,8.9,1.4,3.51,Graduado,0.11828003865059854,0,Não Desistente
Solteiro,Enfermagem,Ensino Secundário,132.0,Português,120.3,0,0,1,Feminino,1,0,0,7,7,7,13.75,0,0,8,9,8,1447777777777770.0,0,12.4,0.5,1.79,Graduado,0.03433455798598324,0,Não Desistente
Solteiro,Enfermagem Veterinária,Ensino Secundário,135.0,Português,134.3,0,0,1,Feminino,0,0,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,Matriculado,0.08839488876549757,0,Não Desistente
Solteiro,Enfermagem,Ensino Secundário,115.0,Português,111.5,0,1,0,Feminino,0,0,0,7,10,4,11.96,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Desistente,0.9951649577935873,1,Desistente
Solteiro,Enfermagem Veterinária,Curso Técnico Superior Profissional,130.0,Português,128.8,0,0,1,Feminino,0,0,7,10,12,8,12875.0,0,4,9,14,5,13.4,0,8.9,1.4,3.51,Desistente,0.41274160440799273,0,Não Desistente
Solteiro,Design de Animação e Multimédia,Ensino Secundário,133.1,Português,110.0,0,0,1,Feminino,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Graduado,0.5260165112815347,1,Desistente
Casado,Serviço Social (prestação nocturna),Ensino Secundário,130.0,Português,113.5,0,0,1,Feminino,0,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Desistente,0.9654037632979445,1,Desistente
Divorciado,Agronomia,Outro - 11º Ano de Escolaridade,133.1,Português,160.0,0,0,1,Feminino,0,0,13,18,19,18,1463157894736840.0,0,10,13,14,13,1423076923076920.0,1,15.5,2.8,-4.06,Graduado,0.038245642695346235,0,Não Desistente
Solteiro,Ensino Básico,Ensino Secundário,123.0,Português,117.4,0,0,1,Feminino,0,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Desistente,0.9880122024736329,1,Desistente
Solteiro,Design de Comunicação,Ensino Secundário,130.0,Português,122.2,0,1,1,Feminino,0,0,4,10,12,10,13.0,0,5,11,11,11,1.22727272727272e+16,0,11.1,0.6,2.02,Graduado,0.0973903051306838,0,Não Desistente
Solteiro,Serviço Social,Ensino Secundário,122.0,Português,118.2,0,0,1,Feminino,0,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,Desistente,0.9569634843107815,1,Desistente
Solteiro,Enfermagem Veterinária,Ensino Secundário,113.0,Português,106.7,0,0,1,Feminino,0,0,0,6,15,4,14.2,0,0,6,17,4,13.25,0,15.5,2.8,-4.06,Desistente,0.31189151662832154,0,Não Desistente
Solteiro,Enfermagem,Ensino Secundário,111.0,Português,108.2,0,0,1,Feminino,0,0,2,7,9,6,1.32666666666666e+16,0,0,7,10,5,12.3,0,12.4,0.5,1.79,Desistente,0.2713012965920732,0,Não Desistente
Solteiro,Ensino Básico,Ensino Secundário,133.1,Português,107.0,0,0,1,Feminino,0,0,0,7,12,6,1.16666666666666e+16,0,0,7,10,3,13.0,0,16.2,0.3,-0.92,Matriculado,0.775291275528067,1,Desistente
Solteiro,Serviço Social,Ensino Secundário,142.0,Português,136.1,0,0,1,Feminino,0,0,0,6,8,6,1.38571428571428e+16,0,0,6,6,6,15.0,0,13.9,-0.3,0.79,Graduado,0.05842329580531147,0,Não Desistente
